disabled_sensor,state_0,state_1,state_2,state_3,state_4,state_5,state_6,state_7,state_8,state_9,state_10,state_11,state_12,state_13,state_14,state_15,state_16,state_17,state_18,state_19,state_20,state_21,state_22,state_23,state_24,state_25,state_26,state_27,state_28
-1.0,0.9899071428571429,0.996395431834404,0.9932191291934332,0.9783725910064239,0.9983226266952177,0.9888650963597431,0.9992505353319058,0.9985724482512491,0.9824054246966453,0.6889007851534618,0.9758386866523912,0.9915774446823697,0.985260528194147,0.9722341184867952,0.9963597430406852,0.3735902926481085,0.8265881513204854,0.9791934332619557,0.9630620985010707,0.9901855817273376,0.9712348322626695,0.00017844396859386153,0.5719842969307637,0.9423982869379015,0.9876516773733048,0.9859743040685225,0.9760528194147038,0.9882583868665239,0.9598857958600999
0.0,0.09351785714285714,0.049928622412562455,0.9298715203426124,0.6834760885082084,0.9844039971448965,0.6247323340471093,0.977123483226267,0.8295503211991435,0.9780870806566738,0.278051391862955,0.9693076374018558,0.9249464668094218,0.35328336902212704,0.5257673090649536,0.7617773019271948,0.0367237687366167,0.6274089935760171,0.9577801570306924,0.9450392576730906,0.9867594575303354,0.8018201284796573,0.00021413276231263382,0.14996431120628123,0.36063526052819417,0.7803711634546753,0.7615274803711635,0.9754817987152035,0.8870806566738044,0.2644539614561028
1.0,0.12358928571428572,0.03372591006423983,0.6796573875802998,0.946859386152748,0.9968236973590293,0.9626695217701642,0.4411491791577445,0.9188793718772306,0.30271234832262667,0.6462169878658102,0.9095645967166309,0.9905781584582442,0.4066024268379729,0.02508922198429693,0.9858315488936474,0.3577087794432548,0.17937187723054962,0.8916845110635261,0.24593147751605995,0.9966809421841542,0.014739471805852963,0.0009635974304068523,0.46488222698072806,0.9011063526052819,0.3926837972876517,0.971484653818701,0.8560314061384725,0.7711991434689508,0.9352248394004282
2.0,0.6550928571428571,0.06784439685938615,0.15492505353319058,0.9746609564596717,0.9975731620271234,0.9824054246966453,0.9878658101356174,0.9909707351891506,0.2369735902926481,0.6480014275517487,0.9575660242683798,0.9928622412562456,0.6818344039971449,0.0335117773019272,0.994825124910778,0.47737330478229834,0.3379014989293362,0.9561741613133476,0.47930049964311205,0.9911134903640257,0.030906495360456816,0.00042826552462526765,0.5837972876516774,0.9509279086366881,0.7083868665239115,0.8930406852248394,0.9362955032119914,0.9129907209136331,0.9582798001427552
3.0,0.6392321428571428,0.9950749464668094,0.9926481084939329,0.9724839400428266,0.9982155603140613,0.9865810135617417,0.9978943611705924,0.9978943611705924,0.9723768736616702,0.6921484653818701,0.9736616702355461,0.9901498929336189,0.9829407566024269,0.11877230549607423,0.9948608137044967,0.4610992148465382,0.9447894361170592,0.9765524625267666,0.9604925053533191,0.9893290506780871,0.2771948608137045,0.0029621698786581013,0.5621698786581013,0.9355460385438972,0.9682369735902926,0.977587437544611,0.9748750892219843,0.989650249821556,0.9515346181299073
4.0,0.514,0.577266238401142,0.9927551748750892,0.958779443254818,0.9977159172019986,0.9911134903640257,0.9992505353319058,0.9972519628836546,0.9818344039971449,0.6047466095645967,0.9746609564596717,0.9895788722341184,0.9835831548893648,0.7193433261955746,0.9882583868665239,0.48215560314061384,0.9532476802284083,0.9738044254104211,0.9594218415417559,0.989186295503212,0.898429693076374,0.004996431120628123,0.6278729478943612,0.9158458244111349,0.981513204853676,0.9612419700214133,0.9753033547466096,0.9895788722341184,0.9269807280513919
5.0,0.5759357142857143,0.2725553176302641,0.9933618843683083,0.974304068522484,0.9983940042826552,0.986688079942898,0.9992862241256245,0.9980014275517487,0.9790149892933618,0.6625981441827267,0.9726266952177016,0.9902212705210564,0.9637401855817274,0.32430406852248395,0.9935403283369022,0.5058886509635975,0.9289793004996431,0.9761598857958601,0.9573518915060671,0.9868665239114918,0.7678443968593861,0.012348322626695218,0.5776945039257673,0.8982155603140614,0.9288722341184869,0.9810492505353319,0.9736973590292648,0.9894004282655247,0.9525339043540328
6.0,0.92935,0.7508208422555318,0.9933261955745896,0.9755888650963598,0.998429693076374,0.9849750178443969,0.9990364025695931,0.9985724482512491,0.983226266952177,0.6619557458957888,0.976802284082798,0.9913990007137758,0.985117773019272,0.9666666666666667,0.9960742326909351,0.3577444682369736,0.8982869379014989,0.9792291220556745,0.9627052105638829,0.989186295503212,0.7497144896502498,0.00017844396859386153,0.597323340471092,0.9366523911491792,0.9862955032119914,0.986366880799429,0.9765881513204854,0.9891506067094932,0.960028551034975
7.0,0.98025,0.29179157744468237,0.9882940756602426,0.9828693790149893,0.9981441827266239,0.9859029264810849,0.9992505353319058,0.9984653818700928,0.9562455389007851,0.6353675945753033,0.9694503925767309,0.9875802997858673,0.9826552462526766,0.602498215560314,0.9957887223411849,0.2802997858672377,0.7761955745895789,0.979157744468237,0.9618486795146324,0.9786224125624554,0.7834760885082084,0.0019271948608137045,0.5848322626695218,0.7544610992148465,0.9522127052105639,0.9857244825124911,0.9725553176302641,0.9863311920057102,0.9582441113490364
8.0,0.5791035714285714,0.02012847965738758,0.9707708779443255,0.9495003568879372,0.9964668094218415,0.9771948608137045,0.2083868665239115,0.8441827266238401,0.06195574589578872,0.7542469664525339,0.8874018558172734,0.9825838686652392,0.9421484653818701,0.003069236259814418,0.989971448965025,0.7874375446109921,0.3689507494646681,0.9604568165596002,0.9050678087080657,0.9898286937901499,0.004817987152034261,0.0007494646680942184,0.4351534618129907,0.9300499643112062,0.45663811563169165,0.5621698786581013,0.9674875089221985,0.944039971448965,0.23679514632405424
