disabled_sensor,state_id,accuracy
-1.0,0.0,0.33899770654118205
-1.0,1.0,0.00018542555164101615
-1.0,2.0,0.9646727029835238
-1.0,3.0,0.9145327816914532
-1.0,4.0,0.3631944186736928
-1.0,5.0,0.004139474174902107
-1.0,6.0,0.9192763982020485
-1.0,7.0,0.7743631516587678
-1.0,8.0,0.008076467101363368
-1.0,9.0,0.681926126191955
-1.0,10.0,0.9403752914615641
-1.0,11.0,0.9800681683461766
-1.0,12.0,0.8248385049101975
-1.0,13.0,0.9938372438372438
-1.0,14.0,0.9805955168952827
-1.0,15.0,0.007905138339920948
-1.0,16.0,0.02864429331756357
-1.0,17.0,0.5900376078460291
-1.0,18.0,0.05989892984542212
-1.0,19.0,0.5318807596164609
-1.0,20.0,0.8175890883201559
-1.0,21.0,0.002142830753315846
-1.0,22.0,0.5170791345583877
-1.0,23.0,0.000782472613458529
-1.0,24.0,0.9321198190850448
-1.0,25.0,0.7033794561709389
-1.0,26.0,0.7874569619784533
-1.0,27.0,0.23982471776589423
-1.0,28.0,0.46331431112428667
0.0,0.0,0.044752135737135476
0.0,1.0,0.00033376599295382905
0.0,2.0,0.978254415912127
0.0,3.0,0.5508964180550896
0.0,4.0,0.004675845177570787
0.0,5.0,0.0
0.0,6.0,0.8844595092476605
0.0,7.0,0.5751258886255924
0.0,8.0,0.01181831653823355
0.0,9.0,0.15706404588798364
0.0,10.0,0.8975165624190384
0.0,11.0,0.6643079430942501
0.0,12.0,0.1001456256301109
0.0,13.0,0.8641223641223641
0.0,14.0,0.5287907512731869
0.0,15.0,0.0
0.0,16.0,0.012381726788882318
0.0,17.0,0.5819629820809675
0.0,18.0,0.007134363852556481
0.0,19.0,0.7968137895011752
0.0,20.0,0.051635627833776745
0.0,21.0,7.389071563158089e-05
0.0,22.0,0.07050237107291049
0.0,23.0,0.0
0.0,24.0,0.2575813746570772
0.0,25.0,0.2986237340950402
0.0,26.0,0.46854985006108624
0.0,27.0,0.06710487225193107
0.0,28.0,0.04317053286889498
1.0,0.0,0.07625193904891969
1.0,1.0,0.00897459669942518
1.0,2.0,0.7208327148582455
1.0,3.0,0.5914122777591412
1.0,4.0,0.6115337514380079
1.0,5.0,0.0002610479209397725
1.0,6.0,0.7589344926681896
1.0,7.0,0.4414988151658768
1.0,8.0,0.2173606994665086
1.0,9.0,0.2082130722297322
1.0,10.0,0.6362559680225027
1.0,11.0,0.9808091286307054
1.0,12.0,0.07972069750942833
1.0,13.0,0.06274131274131274
1.0,14.0,0.7538009739414891
1.0,15.0,0.0009973772671862879
1.0,16.0,3.696037847427558e-05
1.0,17.0,0.08657178674139075
1.0,18.0,0.032513376932223545
1.0,19.0,0.8719546319441853
1.0,20.0,0.12204444111365084
1.0,21.0,0.0005541803672368567
1.0,22.0,0.15382335506816835
1.0,23.0,0.00014904240256352933
1.0,24.0,0.0071921109216282345
1.0,25.0,0.5411952368587009
1.0,26.0,0.15926844618858985
1.0,27.0,0.0037136066547831252
1.0,28.0,0.17746238790483954
2.0,0.0,0.14623212178340544
2.0,1.0,0.010903022436491749
2.0,2.0,0.9423704913166098
2.0,3.0,0.6531738044653174
2.0,4.0,0.4629828923442313
2.0,5.0,0.0005966809621480515
2.0,6.0,0.9012231965219955
2.0,7.0,0.4218009478672986
2.0,8.0,0.2797495554238293
2.0,9.0,0.27262431040151985
2.0,10.0,0.7488434064917281
2.0,11.0,0.987885299347955
2.0,12.0,0.1487248422389007
2.0,13.0,0.11868874368874369
2.0,14.0,0.7932418869187019
2.0,15.0,0.0019578146355878983
2.0,16.0,0.0
2.0,17.0,0.12738736081409927
2.0,18.0,0.043214922711058264
2.0,19.0,0.8008431891952393
2.0,20.0,0.16760969760557576
2.0,21.0,0.0003694535781579045
2.0,22.0,0.2053200948429164
2.0,23.0,7.452120128176467e-05
2.0,24.0,0.09075405946466968
2.0,25.0,0.45643061171495347
2.0,26.0,0.22198363629632373
2.0,27.0,0.005384729649435532
2.0,28.0,0.29478247980434297
3.0,0.0,0.19734508019683666
3.0,1.0,0.00033376599295382905
3.0,2.0,0.9599599228143091
3.0,3.0,0.8083044466808305
3.0,4.0,0.08887816825620663
3.0,5.0,0.0035427932127540555
3.0,6.0,0.9397244123498637
3.0,7.0,0.6549540876777251
3.0,8.0,0.0242294013040901
3.0,9.0,0.5785320229439919
3.0,10.0,0.9088789370443021
3.0,11.0,0.9813278008298755
3.0,12.0,0.7757365296292147
3.0,13.0,0.6691787941787942
3.0,14.0,0.9672131147540983
3.0,15.0,0.012079346902589487
3.0,16.0,0.08279124778237729
3.0,17.0,0.48252341272767496
3.0,18.0,0.071269322235434
3.0,19.0,0.6088497556243704
3.0,20.0,0.4720275789710346
3.0,21.0,0.002253666826763217
3.0,22.0,0.46313722584469474
3.0,23.0,0.0006334302108949996
3.0,24.0,0.6983762141321272
3.0,25.0,0.48796231034610676
3.0,26.0,0.6873495983117989
3.0,27.0,0.21096999405822936
3.0,28.0,0.3761950641073149
4.0,0.0,0.149987753375244
4.0,1.0,0.0014092341924717227
4.0,2.0,0.9607020929196972
4.0,3.0,0.7679376793767938
4.0,4.0,0.04378966118677404
4.0,5.0,0.005183665858661197
