disabled_sensor,state_id,TPR
-1.0,0,0.6665875411170267
-1.0,1,0.9095780011513085
-1.0,2,0.930599921235724
-1.0,3,0.9274797460039413
-1.0,4,0.9365281002234
-1.0,5,0.9106179553528354
-1.0,6,0.9205164236782013
-1.0,7,0.9058833945725796
-1.0,8,0.9507757218828287
-1.0,9,0.897677922538332
-1.0,10,0.9366758120187627
-1.0,11,0.9646076352067868
-1.0,12,0.957625627035114
-1.0,13,0.9279779604687773
-1.0,14,0.9878578392271559
-1.0,15,0.8475189828712697
-1.0,16,0.9559547571523619
-1.0,17,0.9540009796499977
-1.0,18,0.9316091187841621
-1.0,19,0.9474795460543679
-1.0,20,0.9408962597035991
0.0,0,0.07175556987351216
0.0,1,0.9057698268609131
0.0,2,0.9282807508860981
0.0,3,0.882110794832494
0.0,4,0.9258399404266503
0.0,5,0.9053988860137713
0.0,6,0.9033462146495697
0.0,7,0.8989773783700031
0.0,8,0.858656001406408
0.0,9,0.5528671452627847
0.0,10,0.5025223471103637
0.0,11,0.9672145634499824
0.0,12,0.9616298512716712
0.0,13,0.9345810739898548
0.0,14,0.989807675263671
0.0,15,0.34946141621048915
0.0,16,0.9894876912840985
0.0,17,0.9521752682905108
0.0,18,0.9398302448562413
0.0,19,0.9375824755872262
0.0,20,0.9412932251235003
1.0,0,1.695547492285259e-05
1.0,1,0.2631625559048842
1.0,2,0.028573929024635715
1.0,3,0.00608714692358222
1.0,4,0.6011213806999869
1.0,5,0.29546949695188807
1.0,6,0.6963376075882662
1.0,7,0.21430784895303023
1.0,8,0.000615303476464642
1.0,9,0.14269254630860587
1.0,10,0.29834498628197187
1.0,11,0.7184959349593496
1.0,12,0.009548534717944205
1.0,13,0.5873272695469652
1.0,14,0.5866790747141718
1.0,15,0.0038407204661840013
1.0,16,0.004834774894655134
1.0,17,0.8058957118047825
1.0,18,0.029062791627782962
1.0,19,0.25354095187824405
1.0,20,0.46921312632321804
2.0,0,0.0
2.0,1,0.3371562679891954
2.0,2,0.9302060998555989
2.0,3,0.0003503393912853076
2.0,4,0.4250733715887687
2.0,5,0.17214157273803782
2.0,6,0.8993939926225188
2.0,7,0.4772234273318872
2.0,8,0.6335428295169868
2.0,9,0.006071080386422051
2.0,10,0.20448712275422604
2.0,11,0.9899699540473665
2.0,12,0.9560855407902843
2.0,13,0.9422336889977261
2.0,14,0.9755827350881857
2.0,15,0.0005297545470598623
2.0,16,0.6393878908848969
2.0,17,0.9449169523979161
2.0,18,0.9068124250099987
2.0,19,0.0281076801266825
2.0,20,0.685029992942837
3.0,0,0.5711451727762895
3.0,1,0.9075853518133109
3.0,2,0.9329190915853498
3.0,3,0.7781475804685789
3.0,4,0.9357396294187218
3.0,5,0.9090390772334547
3.0,6,0.9215703495520815
3.0,7,0.9092921333392359
3.0,8,0.9467322990374896
3.0,9,0.9403084286094124
3.0,10,0.8661385963359589
3.0,11,0.9686726758571933
3.0,12,0.9598697527061515
3.0,13,0.9290711911841875
3.0,14,0.9890100150669149
3.0,15,0.7533109659191242
3.0,16,0.957329784874695
3.0,17,0.9545353341942379
3.0,18,0.9277429676043194
3.0,19,0.954517462831002
3.0,20,0.9374558927311221
4.0,0,0.0
4.0,1,0.002214054819997343
4.0,2,0.8997068218614623
4.0,3,4.379242391066345e-05
4.0,4,0.020587848788821236
4.0,5,0.00039471952984518224
4.0,6,0.8921043386615142
4.0,7,0.05135242817300456
4.0,8,0.000351601986551224
4.0,9,0.0
4.0,10,0.20267280290291176
4.0,11,0.980072463768116
4.0,12,0.9275719440288657
4.0,13,0.9633986356480672
4.0,14,0.9860409465567668
4.0,15,0.0
4.0,16,4.435573297848747e-05
4.0,17,0.949859731932137
4.0,18,0.611873972359241
4.0,19,0.0
4.0,20,0.12689661256175017
5.0,0,0.0007629963715283665
5.0,1,0.6297214719036444
5.0,2,0.7912746685336717
5.0,3,0.3477994306984892
5.0,4,0.9141004862236629
5.0,5,0.7431691592474015
